,shortest_processing_first,earliest_deadline_first,smallest_slack
308000,1373479,1029745,2854885
309000,2064595,1100679,2967502
310000,1629691,1048668,2453369
311000,1083692,1538647,2560875
312000,971986,2876499,3910655
313000,998789,2424325,2156338
314000,972760,1704648,1689880
315000,1017903,2249932,2374513
316000,1696334,1420300,2800491
317000,1986999,2212084,1716429
318000,1176810,1653504,1834674
319000,996997,956848,3279560
320000,1129554,961399,3653628
321000,991558,984671,1738265
322000,1210614,977694,1740524
323000,1268587,1018428,2095154
324000,2099397,1832109,3292248
325000,1463725,1581773,2378301
326000,1616861,1704910,1734282
327000,1568284,1648895,1638434
328000,2189929,1725736,2297934
329000,2243378,1070411,1679276
330000,1965819,2070272,1739077
331000,981983,1463689,1656135
332000,1014449,2118206,1709990
333000,951307,1556013,2026248
334000,954437,2747238,1798296
335000,975522,2374097,2304180
336000,996755,2320958,1876291
337000,1474147,2329877,1737783
338000,2054431,1478929,3353962
339000,1177745,1030510,1778997
340000,1384015,1298028,2353195
341000,1267163,993317,2506000
342000,1023975,979194,1774035
343000,1098725,1173495,1730815
344000,1390756,1171479,1694728
345000,2365748,1398058,1624768
346000,1298868,1555631,1763315
347000,956056,960500,1634037
348000,996500,1664527,3346790
349000,1041156,1121817,1908974
350000,1118913,953883,1708686
351000,1785877,970955,2438044
352000,2155013,936115,2804901
353000,2095638,1093463,2324964
354000,1815959,1583457,1688371
355000,1068635,1874572,1655867
356000,949256,2098068,2901615
357000,954808,1077846,3000699
358000,1852971,2193224,1650354
359000,1759432,2178180,1639166
360000,967180,2756464,1682816
361000,946511,2685987,1784411
362000,946649,959861,1726527
363000,943866,936235,1683395
364000,1063038,987473,1652769
365000,1522059,983726,1701473
366000,1535817,971063,1686415
367000,1380678,1039961,2432150
368000,1077289,1168174,2767034
369000,1067180,1585041,1815860
370000,1221612,1059913,1683643
371000,1392682,946472,1812483
372000,1039248,1302904,3428168
373000,950011,972439,2475155
374000,2008376,1047785,1664947
375000,1785996,1039666,1703578
376000,1070057,954099,2837228
377000,964864,1945940,2387454
378000,956954,2032949,1742541
379000,1026897,1647575,1666855
380000,1084184,2358108,1765749
381000,1027830,3088094,2182251
382000,2119172,2203395,1637318
383000,1492510,1190129,2495057
384000,1025579,1184581,2851642
385000,1239048,948131,3626179
386000,965828,935489,2667039
387000,946315,970274,2587230
388000,1032755,971440,2794423
389000,1023351,2005714,1681490
390000,1352420,1721022,1635570
391000,1057802,985821,1659700
392000,1601990,967802,1730717
393000,1145842,977485,2889202
394000,985857,1012957,4232496
395000,1032565,974288,1886735
396000,984476,983216,2279618
397000,990120,2008261,3662003
398000,1988438,1791391,2451345
399000,1111686,938186,1732667
400000,997626,1462609,1997178
401000,1037714,1194167,4176260
402000,1900825,1683887,4319284
403000,1075899,2480331,2051837
404000,982344,2836311,3114335
405000,1463779,2282820,1809878
406000,2174306,1520194,1699659
407000,1179558,978769,1720988
408000,1024347,1073368,3106680
409000,985210,1091099,3922412
410000,1033537,1076948,3655368
411000,949060,945943,3332010
412000,967317,944145,2346437
413000,1612492,1374897,1966513
414000,2006194,1017775,2078422
415000,1082793,1091569,2460922
416000,988685,984309,2467482
417000,1272228,1050051,1702592
418000,1075839,2057494,1973291
419000,1729603,1430983,2188088
420000,1459982,979161,1780603
421000,2151991,1004220,1768153
422000,1165256,934500,2273630
423000,1219196,998970,2611474
424000,1152140,1028847,4109074
425000,954861,2060418,3592917
426000,1052528,2409000,3440357
427000,1178579,1492027,3529860
428000,2123363,2854878,3568783
429000,1084066,1190674,1998709
430000,1251725,1124364,3583423
431000,1148866,2200707,2702641
432000,1350418,1507025,2717906
433000,991194,953935,3132070
434000,1049497,951072,3006830
435000,1131375,927206,2059508
436000,956579,960450,2249494
437000,1020536,994565,4407806
438000,961371,1129852,4462530
439000,972644,1457696,3722518
440000,948519,1062492,1910802
441000,968011,957426,1805423
442000,1015971,993790,1753102
443000,949390,978183,2083729
444000,1069680,1358173,2302171
445000,1612965,1033125,2167348
446000,1780894,944753,2553386
447000,1151473,1290268,2161301
448000,1314991,1218417,2589538
449000,1966302,1126397,1884076
450000,1036252,1835172,2133546
451000,1122434,1888025,2746705
452000,1392541,1094208,2812687
453000,980732,1092610,2406521
454000,1012784,1583466,1807149
455000,1090054,1597395,1629857
456000,1700983,1060423,2830580
457000,1146111,1739746,1682871
458000,973466,1404365,1821374
459000,989651,1081155,1789432
460000,1447228,1001962,2213540
461000,1070130,1051106,3457015
462000,1029033,1066925,2373786
463000,1121018,1098295,2050610
464000,967588,955847,3273330
465000,1292697,936047,4347143
466000,1160743,931809,2826639
467000,988388,1111827,2123932
468000,1211883,1032911,2882050
469000,2088751,3650404,1894738
470000,1399211,1134186,1642441
471000,1041727,1825057,1811637
472000,1094427,1455246,2575836
473000,1163562,1998435,3601112
474000,1287683,2245689,2157095
475000,1473095,2264743,1689725
476000,2100703,1976052,2178044
477000,1485013,1885586,2022543
478000,955770,2141073,2099631
479000,995249,1567485,2194889
480000,1092060,1912495,1802101
481000,1731083,2311732,2323307
482000,1178702,1738743,2311902
483000,1948699,2185370,1744211
484000,1877486,1892391,1732834
485000,1589868,2147063,1641221
486000,1048284,1626240,2046358
487000,1058553,1645291,1850886
488000,980773,1628369,1660524
