,shortest_processing_first,earliest_deadline_first,smallest_slack
357000,512934,474824,847283
358000,512352,470387,845268
359000,515796,472616,846743
360000,545320,470834,914547
361000,518142,468324,850713
362000,515951,558409,847889
363000,513754,472159,847218
364000,512297,470715,884401
365000,513097,470082,905942
366000,512573,508316,960760
367000,513459,469691,876379
368000,515066,469080,1183470
369000,511849,468826,1349842
370000,545844,468039,1154400
371000,519668,505008,888333
372000,518930,524753,877523
373000,503306,511643,900446
374000,497936,469494,846182
375000,487938,470832,846874
376000,494101,469865,944320
377000,492767,467653,919823
378000,618622,468649,847261
379000,912912,507706,845892
380000,905007,467838,847046
381000,670277,468925,845032
382000,522195,505044,911807
383000,473115,504155,877318
384000,472844,500030,877657
385000,471530,500100,885208
386000,468389,498967,913133
387000,469480,514225,849650
388000,528085,512878,846713
389000,507468,470410,846389
390000,513023,468163,845717
391000,470932,467796,886119
392000,470063,493120,900518
393000,505496,503288,876090
394000,468691,499862,872915
395000,469306,516021,916086
396000,468327,471768,847367
397000,468800,468826,960154
398000,505619,469382,849020
399000,530354,469014,846765
400000,503400,468033,890660
401000,500060,470186,848242
402000,500479,469732,950603
403000,499828,556698,893569
404000,503142,471956,959858
405000,499499,574470,1170197
406000,588355,469601,1406236
407000,472061,469369,1042608
408000,501971,468968,907698
409000,506058,468791,846720
410000,503296,468483,845481
411000,503446,584091,847338
412000,502154,534043,1062383
413000,502184,644502,872060
414000,509282,740494,872154
415000,472607,684199,874711
416000,471130,654183,870683
417000,469739,514362,890804
418000,467559,522091,907421
419000,531238,474898,879727
420000,502444,588142,879615
421000,502495,965113,892259
422000,526608,691430,848601
423000,474911,735531,847842
424000,471255,639479,900618
425000,469263,486131,871213
426000,470272,482502,875551
427000,470625,474148,871521
428000,470105,468336,872595
429000,534763,519519,895801
430000,527858,505228,907753
431000,473408,501325,848957
432000,471785,514258,846641
433000,471138,470439,843823
434000,508500,469334,846459
435000,469356,507974,939647
436000,469810,469698,875291
437000,472748,468645,880153
438000,479868,467534,874000
439000,786256,467470,1122471
440000,478657,532780,1267159
441000,470582,498419,971846
442000,473115,519814,1120399
443000,585562,471660,1438200
444000,662926,469499,1049092
445000,846749,468810,1070804
446000,760509,469073,1023601
447000,598147,469491,848037
448000,512215,508059,844212
449000,509090,467971,846722
450000,507870,523792,902157
451000,505863,553471,890429
452000,528384,470492,845452
453000,471764,471333,845717
454000,544014,470260,845870
455000,470116,469055,843698
456000,469277,473493,998040
457000,529427,470480,848690
